decision_id	stage	topic	planned_config_key	status	current_value	allowed_values_or_rule	evidence_or_rationale_required	planned_script	planned_class	affected_outputs
IMPORT-004	01	raw count preservation	import.preserve_raw_counts	FIXED_CONTRACT	true	must remain true	Normalization or integration must never overwrite raw integer counts	01_build_canonical_counts.py	CanonicalCountObjectBuilder	all objects
IMPORT-005	01	initial gene retention	import.initial_gene_filter	PENDING_APPROVAL	TBD	retain all matrix rows; remove zero-total rows; declared feature rule	Any removal must be recorded before QC	01_build_canonical_counts.py	FeatureContract	feature_inventory.tsv; canonical object
QC-001	02	QC metrics	qc.metrics	PENDING_APPROVAL	TBD	n_counts; n_features; mitochondrial percent; ribosomal percent; hemoglobin percent; top-gene percent; declared Flex-specific metrics	Metrics must fit the 10x Flex assay and available features	02_compute_qc_diagnostics.py	QCMetricCalculator	per_cell_qc_metrics.tsv.gz
QC-002	02	mitochondrial feature rule	qc.mito_feature_rule	PENDING_APPROVAL	TBD	explicit gene-symbol or Ensembl rule	Feature inventory must validate every selected mitochondrial feature	02_compute_qc_diagnostics.py	QCMetricCalculator	per_cell_qc_metrics.tsv.gz
QC-003	02	stratification of diagnostics	qc.diagnostic_strata	PENDING_APPROVAL	TBD	per technical sample; optional declared metadata strata	Thresholds must not be dominated by pooled distributions	02_compute_qc_diagnostics.py	QCDiagnosticWorkflow	QC diagnostic tables and figures
QC-004	02	biological blinding during cleanup	qc.blind_fields	PENDING_APPROVAL	TBD	genotype; sex; expected annotation; declared exceptions	Prevent outcome-driven thresholds while still detecting gross sample failures	02_compute_qc_diagnostics.py	QCDiagnosticWorkflow	QC report and decision ledger
FILTER-001	03	lower cell complexity rule	filter.min_features	DIAGNOSTIC_GATE	TBD	fixed per sample; robust outlier rule; approved hybrid	Must be selected from Step 02 per-sample evidence	03_apply_qc_filtering.py	QCFilterPolicy	cell_disposition.tsv.gz
FILTER-002	03	upper cell complexity rule	filter.max_features	DIAGNOSTIC_GATE	TBD	fixed per sample; robust outlier rule; approved hybrid	Must distinguish high-complexity biology from multiplets using Step 02 evidence	03_apply_qc_filtering.py	QCFilterPolicy	cell_disposition.tsv.gz
FILTER-003	03	library-size rule	filter.count_bounds	DIAGNOSTIC_GATE	TBD	fixed bounds; robust outlier rule; no count filter	Must be selected from Step 02 per-sample evidence	03_apply_qc_filtering.py	QCFilterPolicy	cell_disposition.tsv.gz
FILTER-004	03	mitochondrial rule	filter.max_mito_percent	DIAGNOSTIC_GATE	TBD	fixed per sample; robust outlier rule; approved hybrid	Must be selected from Step 02 evidence and assay context	03_apply_qc_filtering.py	QCFilterPolicy	cell_disposition.tsv.gz
FILTER-005	03	gene retention rule	filter.min_cells_per_gene	DIAGNOSTIC_GATE	TBD	nonnegative integer or explicit rule	Must report genes and information removed	03_apply_qc_filtering.py	QCFilterPolicy	gene_disposition.tsv.gz
FILTER-006	03	filter combination logic	filter.logic	PENDING_APPROVAL	TBD	fail any; staged logic; explicit Boolean expression	Every cell must retain all triggered reasons, not only the first	03_apply_qc_filtering.py	QCFilterWorkflow	cell_disposition.tsv.gz
FILTER-007	03	sample failure gate	filter.sample_failure_rule	PENDING_APPROVAL	TBD	report only; explicit minimum retention; manual approval gate	No sample may disappear silently	03_apply_qc_filtering.py	QCFilterWorkflow	filter_retention_by_sample.tsv
ARTIFACT-001	04	doublet method	artifacts.doublet.method	PENDING_APPROVAL	TBD	none; scrublet; scDblFinder; DoubletFinder; declared alternative	Must match backend and multiplex/sample structure	04_assess_artifacts.py	DoubletStrategy	artifact_scores.tsv.gz
ARTIFACT-002	04	doublet expected rate	artifacts.doublet.expected_rate	DIAGNOSTIC_GATE	TBD	per-sample numeric values or explicit Cell Ranger-derived rule	Expected loading and called-cell counts must support values	04_assess_artifacts.py	DoubletStrategy	artifact scores and report
ARTIFACT-003	04	doublet removal rule	artifacts.doublet.remove_if	PENDING_APPROVAL	TBD	do not remove; method call; score threshold; consensus rule	Scoring and removal must remain separate decisions	04_assess_artifacts.py	ArtifactAssessmentWorkflow	cell_disposition.tsv.gz
ARTIFACT-004	04	ambient RNA method	artifacts.ambient.method	PENDING_APPROVAL	TBD	none; diagnostic only; SoupX; CellBender; declared alternative	Requires compatible raw-droplet evidence inventoried in Step 00	04_assess_artifacts.py	AmbientStrategy	artifact-clean object and report
ARTIFACT-005	04	additional artifact rules	artifacts.additional_rules	PENDING_APPROVAL	TBD	empty list or explicitly named rules	No unregistered cleanup heuristic is permitted	04_assess_artifacts.py	ArtifactAssessmentWorkflow	cell_disposition.tsv.gz
NORM-001	05	normalization method	normalization.method	PENDING_APPROVAL	TBD	log normalization; SCTransform; scran; Pearson residuals; declared alternative	Must match Flex count properties and selected backend	05_normalize_select_features.py	NormalizationStrategy	normalized object
NORM-002	05	normalization scale factor	normalization.target_sum	PENDING_APPROVAL	TBD	positive numeric value; not applicable for selected method	Required only when the method uses library-size scaling	05_normalize_select_features.py	NormalizationStrategy	normalized object
NORM-003	05	regressed covariates	normalization.regress_covariates	PENDING_APPROVAL	TBD	empty list or explicit technical covariates	Biological variables may not be regressed without explicit rationale	05_normalize_select_features.py	NormalizationStrategy	normalized object
FEATURE-001	05	variable-feature method	features.method	PENDING_APPROVAL	TBD	backend-supported declared method	Must support sample-aware selection	05_normalize_select_features.py	FeatureSelectionStrategy	selected_features.tsv
FEATURE-002	05	number of variable features	features.n_features	DIAGNOSTIC_GATE	TBD	positive integer or method-defined value	Sensitivity must be visible before final graph construction	05_normalize_select_features.py	FeatureSelectionStrategy	selected_features.tsv
FEATURE-003	05	excluded feature sets	features.exclude	PENDING_APPROVAL	TBD	empty list; mitochondrial; ribosomal; cell-cycle; transgene; explicit genes	Each excluded set requires a stated reason and retained raw counts	05_normalize_select_features.py	FeatureSelectionStrategy	selected_features.tsv
BASELINE-001	06	latent method	baseline.latent_method	PENDING_APPROVAL	TBD	PCA; declared alternative	A no-batch-correction baseline is mandatory	06_build_unintegrated_baseline.py	UnintegratedBaselineWorkflow	unintegrated object and PCA tables
BASELINE-002	06	number of components	baseline.n_components	DIAGNOSTIC_GATE	TBD	positive integer or explicit selection rule	Variance and stability diagnostics must support the choice	06_build_unintegrated_baseline.py	UnintegratedBaselineWorkflow	PCA and baseline graph outputs
BASELINE-003	06	baseline neighbor settings	baseline.neighbors	PENDING_APPROVAL	TBD	explicit k; dimensions; metric	Needed for comparable no-correction diagnostics	06_build_unintegrated_baseline.py	NeighborGraphBuilder	unintegrated baseline object
INTEGRATE-001	07	integration nuisance variable	integration.batch_key	BLOCKED_PENDING_METADATA	TBD	validated technical nuisance variable distinct from genotype and sex	Current sample key lacks confirmed donor/litter/batch structure	07_evaluate_integration.py	IntegrationBenchmarkWorkflow	integration_decision.tsv
INTEGRATE-002	07	candidate methods	integration.candidates	PENDING_APPROVAL	TBD	no correction plus explicitly named compatible methods	No-correction candidate is mandatory; candidate set must be bounded	07_evaluate_integration.py	IntegrationStrategy	integration candidate objects
INTEGRATE-003	07	benchmark metrics	integration.metrics	PENDING_APPROVAL	TBD	explicit batch-mixing and biological-conservation metrics	Selection must balance nuisance removal and biology preservation	07_evaluate_integration.py	IntegrationBenchmarkWorkflow	integration_benchmark.tsv
INTEGRATE-004	07	acceptance rule	integration.acceptance_rule	PENDING_APPROVAL	TBD	predeclared multi-metric rule; manual approval from bounded comparison	Integration is selected only if it improves the declared criteria	07_evaluate_integration.py	IntegrationBenchmarkWorkflow	integration_decision.tsv
INTEGRATE-005	07	selected representation	integration.selected_representation	DIAGNOSTIC_GATE	TBD	no correction or one approved candidate	Resolved only after Step 07 benchmark and approval	07_evaluate_integration.py	IntegrationBenchmarkWorkflow	selected representation pointer
GRAPH-001	08	final neighbor settings	graph.neighbors	PENDING_APPROVAL	TBD	explicit k; dimensions; metric	Must refer to the Step 07 selected representation	08_build_graph_clusters_umap.py	NeighborGraphBuilder	final processed object
CLUSTER-001	08	clustering algorithm	clustering.method	PENDING_APPROVAL	TBD	Leiden; Louvain; declared backend method	Method and package version must be pinned	08_build_graph_clusters_umap.py	ClusteringEvaluator	cluster_membership.tsv.gz
CLUSTER-002	08	resolution candidates	clustering.resolution_grid	PENDING_APPROVAL	TBD	bounded explicit numeric list	Stability and interpretability are evaluated only over this list	08_build_graph_clusters_umap.py	ClusteringEvaluator	clustering_stability.tsv
CLUSTER-003	08	final resolution rule	clustering.selection_rule	PENDING_APPROVAL	TBD	predeclared stability rule; explicit post-diagnostic approval	Final choice and rationale must be in the decision ledger	08_build_graph_clusters_umap.py	ClusteringEvaluator	cluster membership and report
UMAP-001	08	UMAP dimensions	umap.n_components	PENDING_APPROVAL	TBD	2; 3; explicitly declared value	Primary display dimensionality must be explicit	08_build_graph_clusters_umap.py	EmbeddingBuilder	final UMAP
UMAP-002	08	UMAP neighborhood parameters	umap.parameters	PENDING_APPROVAL	TBD	explicit min_dist; spread; metric; initialization	No plotting parameter may be a silent library default	08_build_graph_clusters_umap.py	EmbeddingBuilder	final UMAP
UMAP-003	08	UMAP seed	umap.random_seed	PENDING_APPROVAL	TBD	nonnegative integer or reuse engine.random_seed	Embedding must be reproducible	08_build_graph_clusters_umap.py	EmbeddingBuilder	final UMAP
ANNOT-001	09	marker method	annotation.marker_method	PENDING_APPROVAL	TBD	explicit backend method and covariates	Marker evidence characterizes fixed clusters and does not choose them	09_annotate_publish.py	MarkerCharacterizer	marker tables
ANNOT-002	09	external reference joins	annotation.external_sources	PENDING_APPROVAL	TBD	empty list or manifested GSE94641; Bandler/MIND; MapMyCells outputs	Only stable-ID joins after Step 08; preserve confidence and source	09_annotate_publish.py	ExternalAnnotationJoiner	annotation concordance tables
ANNOT-003	09	PCDH19 classification join	annotation.pcdh19_classification	PENDING_APPROVAL	TBD	none; frozen Step 07 fields	Cannot alter cleanup; graph; cluster; or UMAP	09_annotate_publish.py	ExternalAnnotationJoiner	final annotated object
PUBLISH-001	all	stage output structure	publishing.required_directories	FIXED_CONTRACT	code; config; objects; tables; figures; logs; provenance	exact required set	Matches documented reproducible run-package convention	pipeline/publishing.py	RunPublisher	all run packages
PUBLISH-002	all	exact executed code copies	publishing.copy_executed_code	FIXED_CONTRACT	true	must copy every executed module; wrapper; SLURM file; config; requirements	User requires a copy of what ran rather than hashes alone	pipeline/publishing.py	RunPublisher	code and config directories
PUBLISH-003	all	default rerun mode	publishing.default_mode	FIXED_CONTRACT	versioned	versioned by default; guarded replace-run for explicit inactive same-stage run	Supports reproducibility and intentional within-step overwrite	bin/submit_<NN>_<stage>.sh	RunPublisher	run directory
PUBLISH-004	all	decision ledger	publishing.decision_ledger	FIXED_CONTRACT	required	requested value; resolved value; status; rationale; evidence; affected output	Every scientific choice must remain visible after execution	pipeline/publishing.py	DecisionLedgerPublisher	resolved_decision_ledger.tsv
PUBLISH-005	all	cell disposition audit	publishing.cell_disposition	FIXED_CONTRACT	required from Step 03 onward	one row per original Cell Ranger cell with all keep/drop flags and reasons	Enables complete retention accounting and later joins	pipeline/publishing.py	RunPublisher	cell_disposition.tsv.gz
